SFS-nr	Rubrik
1736:0123 1	Byggningabalk (1736:0123 1)
1736:0123 2	Handelsbalk (1736:0123 2)
1810:0403	Förordning (1810:0403) huruledes rättelse och  förklaring uti gjorde fideikommissförfattningar  må sökas, samt vad i avseende på fardag av fideikommissegendom kommer att iakttagas
1810:0926	Successionsordning (1810:0926)
1845:50 s.1	Lag (1845:50 s.1) om handel med lösören, som köparen låter i säljarens vård kvarbliva
1851:55 s.4	Förordning (1851:55 s.4) angående sättet för uppsägning av förbindelser, för vilka flera är ansvariga
1855:82 s.1	Förordning (1855:82 s.1) angående löftesmans rätt att uppsäga och betala gäld m.m.
1863:83 s.6	Kungörelse (1863:83 s.6) angående ändring i  föreskrifterna om kronoombuds förordnande att  närvara vid vissa allmänna förrättningar
1866:37 s.1	Riddarhusordning (1866:37 s.1)
1873:26	Stadgan (1873:26) om avvittring i Västerbottens och Norrbottens läns lappmarker
1878:bih. 56 s. 1	Skrivelsen (1878:bih. 56 s.1) angående de å kronoparkerna i Arvidsjaurs socken belägna hemman och nybyggen tillhöriga ängar m.m.
1880:48 s. 1	Kungörelse (1880:48 s.1) om särskilda föreskrifter angående inrättande och förande av fastighetsbok i fråga om vissa järnvägar
1883:bih. 39 s. 1	Skrivelsen (1883:bih. 39 s.1) angående de å kronoparkerna i Gällivare socken belägna, hemman och nybyggen tillhöriga ängar m.m.
1885:56 s.1	Kungörelse (1885:56 s.1) med vissa föreskrifter till beredande av skydd för undervattenstelegrafkablar
1895:bih. 10 s. 1	Resolution (1895:bih. 10 s.1) på en av apostoliske vikarien, Biskopen m.m. Albertus Bitter gjord underdånig ansökning, det Kungl. Maj:t täcktes förklara romerskkatolska kyrkans prästerskap äga rättighet att med laga verkan förrätta vigsel
1895:bih. 52 s. 1	Resolution (1895:bih. 52 s.1) på en av föreståndaren för franska reformerta församlingen i Stockholm Emil Giron gjord underdånig  ansökning, det Kungl. Maj:t täckes förklara församlingens prästerskap äga rättighet att med laga verkan förrätta vigsel
1898:64 s.10	Lag (1898:64 s.10) om boskillnad
1899:bih. 25	Skrivelsen (1899:bih. 25) angående sättet för godkännande av föreningar angående gränserna för enskilda tillhöriga, å kronans mark belägna s.k. ströängar
1899:bih. 40 s. 3	Resolution (1899:bih. 40 s.3) angående rättighet  för anglikanska kyrkans prästerskap i allmänhet att med laga verkan förrätta vigsel här i riket
1904:12 s.3	Kungörelse (1904:12 s.3) angående vad till svenska handelns och sjöfartens betryggande under krig mellan främmande makter bör iakttagas m.m.
1904:26 s.1	Lag (1904:26 s.1) om vissa internationella rättsförhållanden rörande äktenskap och förmynderskap
1904:48 s.1	Lag (1904:48 s.1) om samäganderätt
1906:60 s. 1	Stadgar (1906:60 s.1) för vetenskapssocieteten i Uppsala
1907:36 s. 22	Lag (1907:36 s.22) om vad iakttagas  skall i avseende å införande av lagen om  nyttjanderätt till fast egendom
1909:30	Internationell konvention (1909:30) angående vissa till civilprocessen hörande ämnen av internationell natur
1909:53 s. 7	Lag (1909:53 s.7) angående marks avstående  för nomadlapparnas behov vid avvittring  ovan odlingsgränsen
1909:bih. 29 s.1	Resolution (1909:bih. 29 s.1) angående fastställande av grundstadgar för Handelshögskolan i Stockholm
1910:72 s.1	Kungörelse (1910:72 s.1) angående grunder för förvaltningen av vissa kronan tillhöriga vattenfall
1911:104	Stadgar (1911:104) för Carnegiestiftelsen
1913:160	Lag (1913:160) om ersättning i vissa fall av  allmänna medel till vittnen i mål som avses i gällande lag angående förbud mot införsel till  riket av varor med oriktig ursprungsbeteckning
1915:218	Lag (1915:218) om avtal och andra rättshandlingar på förmögenhetsrättens område
